,0
10," dure stay hilton chicago quit unpleasant. how might ask? well ill tell you, towel scratchi servic terribl terribl i mean even desk i check in. also, when i order breakfast, lunch, dinner room servic i receiv wrong order meal felt littl sick lunch. finally, the bill charg stuff i want ask for. but overal hotel bad unpleas others. i give half star."
11," i stay two night hilton chicago. that last time i stay there. when i arrived, i could believ hotel offer free parking. they want least $10. what i pay i stay night? the websit also tout clean linens. the room clean i believ linen clean. the problem pillow etc. don't know peopl allergies? i also later found hotel allow pets. i think anoth part symptoms. if like clean hotel without allergi attack i suggest opt somewher els stay. i like nickel dime end parking. bewar hidden costs. i tri somewher els future. not worth money sneez night."
12," the hilton chicago, locat prime real estat downtown chicago, age grace hotel around countri open period time. the hotel maintain appear luxuri made iconic, luxuri accord 21st centuri standards. lack form fit center, hilton almost alon among major hotel chicago forc patron go elsewher quick workout. even nomin fee wireless internet use hotel room rare point, outrag park fee $43 guest discourag towner make hilton destination. most guest room differ hilton anywhere, mean unless stay admittedli fantast execut suites, pay premium prosaic hotel experience."
13," i stay hilton chicago back july. for ""luxury"" hotel place meet expectations. for starters, arriv fifteen minut earli check told room readi least anoth hour! i'm use hotel room readi well check-in timee. sinc wait decid grab drink one hotel' restaurants, kitti o'sheas. well, must use almost whole hour wait drinks. onc final got room ok, although great price. we view anyth speak even though paid view, extra towel i requested. we call room servic twice receiv them, anoth two time air condition working. fee internet ridicul phone servic terribl i could bare use internet phone. next time i'm chicago area i stay hilton. i'd recommend hotel peopl want wast money."
14," the hilton chicago boast one great fall clich hotel. there mani differ room suppos array choic king two bathrooms, lakesid view suites. it look good paper get bill. you pay huge fee seem like nice upgrad give noth return! the staff nice i stay hotel i go way seek staff. the casual dine atmospher might nice colleg coupl look getaway cheap. next time i stay chicago i look elsewhere."
15, my husband reserv room onlin chicago hilton. we look quit day away home work. unfortun found look for. first room smaller appear onlin photos. the floor look like clean check area. the room stay thin wall could hear convers guest side. the staff horrible. we ask turn servic never received. i would recommend hotel anyone. chicago great place visit long stay hilton.
16," i stay hilton chicago recent busi trip. i elect go execut suit upgrade. all i say is, ""what upgrade?"" it' bare anyth get normally. and price i paid, i expect much better acommodations. becaus i arriv around 10:30 night i check (delay flight) i get concierg servic stop 10. i find odd hour stop servic like especi expect guest check yet. beyond that, took 20 minut get room. first room mix-up, miss key card. that extrem frustrat i tire i present give next morning. speak next morning, complimentari breakfast joke. when i want stale muffin bad cup coffe breakfast, i'll stay next super 8 i find. and wireless internet room actual pay top everyth els horribl connect angonizingli slow speed. i stay hilton chicago everi even though i frequent chicago. thi top list horribl hotel experi long shot."
17," i realli wish i could say i like hotel, whole experi plain awful. my first warn sign i made reservation. the person i spoke place reserv absolut idea doing. at first tri book wrong hotel, final got sort hotel i actual wanting, book wrong dates. he read right dates, i call back two day later confirm i found he'd given wrong dates. hilton get fixed, i alreadi bad feel stay. then came actual stay hotel. the peopl check-in desk downright rude. then room. i suppos non-smok room, room smell strongli cigarett smoke. the hotel staff refus believ me, let chang room one smell cigarettes. however, i might well stay first room. i short towels, took four calls(ov period 12 hours) front desk get some. the sheet changed, made obviou crumb fresh stain litter them. yes, i abl get fresh sheets, like towels, took sever hour delivered. sinc pet friendli hotel, lucki i got stuck room next room fill yappi littl dogs. the wall paper thin, i could hear night barking. when i complain it, staff refus believ me, said wall room thick i abl hear anyth next door. yeah right. i excit use pool, like room, clean recently. then, i tri fit center. half equip broken. i tri cut stay short, cours hotel work all. they even refus comp stay gross i deal with. i never stay hilton again, i sure let everyon know nightmar stay was."
18, my famili stay hotel walk lobbi i expect good experience. onc i made way counter greet (not really) i knew may bad experience. the custom servic person rude wait minutes. onc i got room look like someon check out. the high chair request still spot food it. the rest room water counter littl toilet paper. after got settl went dine room supper disappoint servic food qualiti price paid. luckili stay one day. one day almost long.
19," i disappoint hotel. the front desk clerk rude; person call took 10 mins. get phone. when i arriv room bed made last guest towel dirty. i call front desk made come back twelveth floor new room assignment(on twelveth floor). onc downstair clerk treat though i done someth wrong. when i arriv new room i found bathroom less clean... there hair floor, toilet shower. the shower curtain mildew dri toothpast spit mirror. my allergi start bother me, immedi upon enter room, i check filter air conditioner. which look like never cleaned.th comfort stain carpet look like never saw vacuum. while wait accept room i went dinner. which prove bad rooms. the lettuc salad brown slimmy. the steak rare i ask medium. not mention, tast like rotten meat.th veggi look like cook week earlier potato shrivel dry. to top whole experi off... when i went turn lamp final room electrocut ambul come get 2 day hospit stay."
20," when i went the jame hotel chicago i truli expect luxuri experi exactli like advertising. gorgeou chairs, staff desk focus job, clean, well decor hotel room. much my, wallet' dismay i found quit opposite. i arriv hotel late flight delayed, found clerk read magazine. it must fascin article, took full minut look ask i reservation, would make one. i said i one, gave voucher i'd print out. he check it, said singl room alreadi rent out, went say i would pay extra two three person room i wish stay night. i grudgingli accept two person option jet lag set i desper need get sleep. the clerk offer walk room, say i look tire tri navig hotel would much easier i got sleep. i accepted, follow new room. he carri briefcas i me, appar time i hand free. he usher room, set briefcas inside, said i need anyth phone next bed would give direct line room servic without dial anything. i thank close door. it i look around fulli saw i staying. what supposedli two person suit two twin bed 6"" apart, cover ruffl blanket sheets. the clean staff obvious recently. a quick look around area i found bathroom toilet paper soap, even complementari one left behind. i got readi bed, look around tv remote, turn out, batteri it. instead, i turn light roll over, sheet blanket turn insid tri find cleaner option. in morn i walk lobbi ask check out. i'd enough hotel one night. the clerk morn cheer blond cheer ask room number hand bill. $240 room, extra $80 note baggag service. i ask it, said anyon carri bag room file baggag service. i ask consid reason charg $80 carri suitcas room two floor up, ride elevator, said unusual, unheard of. she offer chang ""mere"" $20 hand slip phone number, name, reason disagreement, say manag would handl complaint clerk i i sign it. i so, left, wallet $260 lighter, head throb headach lack sleep."
21," i recent stay the jame hotel chicago trust i never again. when pay premium price expect first rate service. our whole experi disast though short live b/c could stay anoth second. when arriv hotel wait receptionist finish play phone servic room ready. so wait lobbi baggage. when final got room i exactli call clean bad. the pictur websit nice enough furnitur fall apart probabl walmart. there plenti space averag person 5' i'm 6'4"" bed smaller said, mention uncomfortable. we order room servic bring us wrong order took 2 hours. there wall also paper thin got littl sleep. the heater help block nois stop work middl night. so next morning, sore uncomfort bed, hungri tire cold check even coffee. stay away!"
22," i disappoint stay the james. i strict gluten free diet told hotel restaur could accomod needs. each time i sat meal, i would explain dietari need waiter. most times, i end send plate back gluten item included. my wife sleep apnea made reservations, i made sure ask room avail outlet near bed could plug cpap machine. i assur problem. however, arriv hotel, request room chang outlet near bed. we wait lobbi sometim room move yet finish benig cleaned. overall, entir horrif stay, i expect hotel suppos caliber. next time i visit chicago, i stay anoth hotel."
23," i initi excit i found employ send chicago business, i could never imagin frustrat irrit would heap inept staff the jame chicago. when i arrived, reserv could found system, although i made myself. after word manag duty, mr. chad montgomery, i given room previous agre upon rate. anyon make mistake, i angri point. my room bland colorless, spite the james' boast attent design detail. the room mostli clean, see stain bedding, i convinc wash room' last occupant. i attend stress busi meet the dine room night, complet cold undercook food serv sloppy, disgruntl waitstaff. afterward i decid relax spa treatment order. i assur i would enjoy ""asha' purifi shower ritual"", would primarili take place room. the shower okay, i think i must allerg jojoba oil provided, i broke hive body. next came ""in-room"" portion. while i shower, five foulest smell candl lit room. i guess suppos make smell good, i began choke odor minut i walk room. my masseus direct lie bed next portion, hand wander littl much liking. i sure certain area not massag menu. in closing, ever consid stay the jame chicago, i beg reconsider. with hand posit thing say hotel, suitcas full neg (includ pend court case masseuse), i almost guarante would regret stay there. i know i do."
24," jame chicago would one worst hotel i ever life! even though notic design place extrem artistic, servic qualiti hotel condit horrible. they gave room blanket dirti look use moment ago! i figur hotel busi i start notic furnitur came cost service. the televis work all. i extrem disapointed, especi come rigor day work want relax. sadly, settl work instead fritter time note got next disapointment. the wifi bust. absolut noth stare furnitur stare wall. i never go jame hotel ever again!"
25," jame chicago; luxuri nice hotel advertised. i want stay hotel, wife insisted. ok, i book ticket, cost $299 one room. $299! i could get new honeycomb android tablet dual core processor price point! the room stylish though, look nice. there tv, bed fine. although i quit understand wifi computer. whi would i even need wifi computer? what thinking!? the experi i jame chicago bit i expected. i mean food avail tasti all. i wait long line get ticket i also hope brows internet, computer, wifi. that' like bread, without fill make sandwich!"
26, do not stay here!! my wife i visit famili chicago decid stay james. we stay jame new york happili came good expectations. what mistake. our room look noth like one pictur website. the bathroom dirti bed furnitur disheveled. there also musti odor room. when call front desk complain quit rude. we end leav stay differ hotel durat stay.
27," a recent stay jame hotel-chicago, reveal recent updat hotel facelift only. although room public area look nice, hotel still need seriou work. our first room clean arriv non-smok room seriou odor cigarett smoke. we ask new room clean odor free. we involv manag request granted. the new room better first glance, sever lacking. we could get temperatur properli regulated. the room alway either hot cold two night stay. in hotel command rate james, expect room temperatur comfort taken granted, someth constant battle. our mattress horribl uncomfortable. when room updated, jame skip new mattresses. our worn point indent can't get of--when lie down, sort sink hole. thi matter basic comfort issu 'luxury' hotel. last, least, found hotel loud almost time stay. in spite calm decor, nois level raucou conduc good night' sleep. all all, unhappi accommod jame chicago would recommend avoid hotel even though conveni location. you happier almost anywher else."
28," the hotel one better one i stay at. room seemingli nice first, stay day seem like clean staff never came clean it. i sheet three day i call request changed. also, wall seem paper thin hear go adjac rooms, interf sleep. i ate primehous restaur also, ask well done steak, steak still pretti pink insid lack flavor. thi definit hotel i would recommend anyone."
29," i busi trip come chicago i want stay someplac realli nice, caus i never there, made reserv jame two week advanc safe side i arriv record it. no big deal, right? they said would take care get room right away... two hour later i'm still sit lobby! final i get room tri relax. everyth nice i decid take shower. i went bathroom... towels, wash cloths, nothing. i call front desk ask some, hour later someon came one. mayb realli busy? final i get shower handl broken!!! i went front desk ask new room start impli i broke it!!! they said everyth fine room earlier day i must done someth it!!! leav hotel easiest decis i made whole trip. two thumb down!"
30," the jame hotel chicago look nice website, look deceiving! the employe extrem rude room disgusting. i would definit advis stay there."
31," the jame chicago hotel one worst hotel i ever stay in. the good thing locat downtown, i forc stay longer i to. the receptionist rude snobby, room dirti towel it, found numer small insect room. furthermore, gym spa close i there. noth done manag accommod inconveniences. next time i take busi elsewhere."
32," i consist disappoint throughout stay james. i heard other ""agreeable"" ""workable"" ""all right,"" even ""a nice place."" i figur would problem book guestroom long weekend visit long-dist girlfriend. accord website, i immers date bath cutting-edg contemporari furnish ""warm tones."" well, i arrived, i felt like i ikea showroom close time busi day. everyth front bit askew. the staff busy, distracted, inattentive, everi way keen show i bother them. i handl bag far much convinc commit comfort. i also thought room quit pathet price. it look distinctli like someon roll around bed i got there. the bathroom fixtur felt littl bit gross smell strongly, inexplicably, men' cologne. nobodi care i complain suggest mayb ""stuck nose"" would go away. well, didn't, i horribl headach time ladi arrived. thi ruin entir first even chicago. for price i could stay week economi hotel, gotten person item treat bedbugs, still save money. and i would treat like pest. needless say, i look elsewher i go back chicago. i may frequent patron luxuri hotels, i know i wast money."
33," when stay hotel like the james, price point, expect certain level quality. if i pay well 500 dollar room, i think unreason expect qualiti room, also certain level standard service. perhap hotel renam the lebron james, much class does, twice pretentious. a hand babi powder thrown face would refresh break level servic i receiv the lebron james. my night hell began clerk, bellboy, whatev was, front desk, fake i assum intend british accent, end unholi meld australian new englander. a british accent make fancy, skilled. onc i made way past mr. belveder room, i disappointed, size, unusu small, also faint scent cigarettes. not strong one, i could definit smell smoke. not acceptable. then, i sleeping, deep throb sound began eman walls. it sound technical, mechanical, like air conditin malfunctioning. despit mani reassur front desk, throb continu throughout night. i demand man front desk come rectifi situat immediately, i could tell, never came."
34, recent stay jame chicago not return anytim soon. the staff unfriendli say least price outrageous. also fan fact allow pet guests. there enough space gym lack varieti equip limit option severely. ultim unimpress servic whole would recommend avoid establishment.
35," we stay hotel last vacat windi city. although hotel look nice, servic terrible. the staff rude unprofession help all. the room servic close 8pm plan get hungri time. also, even though stay whole week ask new towel extra toiletries. i never go back place"
36," the staff jame chicago hotel seem determin make stay horribl one. when i enter establish check in, i ignored. the clerk let half dozen peopl front even acknowledg me. think room servic would better, i relax room i wait food. by time reach room, cold and wrong order. disgusted, i went pool find close maintenance. all restaur hotel recommend one-star, none regular channel tv. all all, bad stay jame hotel chicago."
37, after stay jame chicago last weekend i honestli say i go afford next trip. the jame chicago terribl overpr staff cold disconnected. the chair room look like someth ikea. i love chicago hotel definit one better place stay. i believ i would better happier stay holiday inn. you alway get pay for.
38," the jame hotel chicago huge let down. i expect truli spectacular experience. on websit appear absolut fabul state art hotel. well, family' bad experi start right walk door. it turn room reserv given someon else, man front desk extrem rude. we wait hour hous keep servic prepar new room us. the room odd smell ask towel hand soap alreadi room. the one thing good place fabul gym. all all, i feel paid way much got. next time i look stay somewher else."
39," the jame chicago stuffy, uninvit hotel. if look comfort home, stay here. the room like boardrooms,not bedrooms. definit child-friendli hotel. the restaur site also modern scream pretentious. i would vacat again, especi children. they afraid touch anyth whole hotel!"
40," the hotel monaco claim ""boutiqu chicago luxuri hotel,"" certainli neither luxuri stylish. the pictur post websit impli guest go stay room amaz view, certainli case customer! the decor, might ""cutesy"" ""charming"" actual quit tacki outdated. the bathroom musti smell meet cleanli standard hotel claim ""one top 40 hotel u.s."" don't fool snappi websit select photos--thi hotel live billing. you disappointed, i, expect anyth run-of-the-mil experi mere averag hotel."
41," the hotel monaco hotel say ""character"". i found decor tacki hard time relax room design clash color ""contemporari furniture"". i found fact member kimpton reward club get free wi-fi access annoy least. becaus pet-friendli policy, room smell like wet dog, canin ""guest"" hall kept us night howling. perhap dog would howl less 24-hour room servic faster. we wait hour half order: mean get dinner want 10:00 pm midnight! all all, would stay again. the view locat great, money better place stay chicago."
42," i stay last august i'm truli glad i never stay again. the websit great job creat illusion. the room much smaller seem website. i thought monaco walk distanc nightclub isnt. the wireless internet free extrem slow. for ""classy"" hotel, isnt pool. at $46 per night, on-sit park way expens guests. all all, i would recommend hotel anyone."
43," if look true luxuri experience, hotel monaco chicago place go. i stay visit friend decid treat luxuri experience. i get it. check pleasant experience. the wait long front desk staff unfriendli unhelpful. the room ok, roach anything, small cramped. and mirror headboard bed tacki motel fanci hotel. the hous clean servic realli pushi tri clean room 8:30a morning. when i ask come back later, gave whole 15 minut came back. and get extra towel like pull teeth. i know thought i go steal what. the room servic food i order fine, took forev deliv half-cold time i receiv it. when i call front desk complain, apologized, offer compens send new food. they restaur hotel, i bother tri it. the price ridiculous, menu limited, room servic experi assur worth hassel. i realli disench experience. at $400 plu dollar night, i receiv mediocr accomed poor service. spend hard-earn money somewher else."
44," i decid spend extra money book room monaco website' pictur beauti room views. it wast cash, say least. although i request room view city, must given worst room place. maid servic skip room second day there, i call towel least twice someon final came room. the food outrag expens even lukewarm. two-star hotel quality."
45," i arriv find room ready, despit past 3pm check time. i offer compens this, real apology, shunt side wait out. thi took good hour half, time i need read meeting. again, apologies, card. the room adequ clean (it better be...) though spars furnish price. it feel welcom decor reminisc bad night spent hot, south coastal motels. i encount sever problem site amenities, room out. some staff tri help occas rare abl make headway, even i complain third night rowdi neighbors. it seem apathi clueless bare conceal surliness. after abysm (lack of) servic hotel bar i elect eat everi night (i declin tri room service, unimpress everi offer far). i would use hotel busi person trips."
46," i found stay hotel monaco - chicago less satisfactory. they lure fanci website, promis world more, servic amen turn facade. the pictur websit show grand five-star lobbi one would assum room match, i receiv room (which way i could bare afford) i found luxuri local motel 6. they mention ""pet friendly"". let tell you, code ""smelly"". there faint urin smell throughout entir hotel i awak night incess barking. would stay again."
47, eww! what sicken affair; hotel monaco chicago stuffi masterpiec hotel done wrong. i stay recent room reek pretend elit class fill rooms. i serious afraid even lie sheet fear charg hefti linen fee... i stay chicago week; i stay hotel monaco one night!
48," me busi associ job chicago want stay somewher features. we research onlin came across hotel moncaco. we decid stay 3 nights. when arriv notic busi part citi bright lights. the staff upstiff, offer much hospitality. our room view, citi light kept room bright, even curtain closed. the bed appear soft, offer much comfort. for paid, expect more."
49," when i first look hotel monaco chicago - kimpton hotel' website, hotel look pleas great place stay visit chicago. the problem began i call make reservation. the woman answer rude, say least. i question spa services. she rush sound like read brochure. i decid i let one person ruin experi hotel i made reserv soon i chicago. the front desk servic pleasant i arrived, room seem clean, mysteri stain bedsheets. i got dress went bar area drink appetizers. it took thirti minut worker approach order. yet two parti walk serv right away. i baffl consid i dress nice fairli good mood consid first trip chicago. needless say i stay hotel again."
50," while visit chicago area, chose hotel monaco chicago stay. as one premier luxuri hotel chicago, held high expect quickli disappoint recieved. the problem began soon arrived. the attend friendli smile suppos symbol kimpton. and, went room discov given paid for, situat got worse. rather apolog error (mi credit card receipt hand) blame indescrp room told room reserv paid two month unavailable, would reciev refund price differ two rooms. i could believ top 40 u.s. hotel suppos commit excel could make blunder! with choic retreat back room, pleasantli pleas amen reciev stay. a beauti hotel chicago loop, go expect treat respect professionalism."
51," when got check arriv room first thing notic light come flip switch upon entering. the room clean all. dust collect back tv stand behind it, window sill stain carpet. we request wireless internet servic entir first night. the mattress hard make uncomfort night. the jacuzzi order also. when ask move differ room inform other available."
52," my famili stay hotel monaco hotel chicago 2-5 septemb 2011. i complaint room i complain staff general. when check ladi desk rude children, take littl loud daytim never spoke directli kid way. the clean crew next morn even knock door open door. my children still sleep i shower. thank god husband alreadi conference. the hotel beauti staff make horribl experience. louisiana resident."
53," my famili i went hotel holiday last month. it bad hotel. when got imediatli check went room. the view window brick wall. really? we even ask lasi front desk, said put us room view caus book one upgrade. also, my wife light sleeper train kept night. anoth thing alot ad boast hot tub room true, room normal tub. but, tub stopper, could take showers. the room also small compar hotel around prices."
54," my wife i recent stay hotel monaco chicago and, experi there, returning. with hotel market ""luxury,"" expect get big bang buck. we disappointed, say least. first all, stay king delux room uncomfort small. the space use poorli - wife i could walk around bed time littl space. the decor seem rather date best quality. although said room woudl readi 3, wait almost hour past room ready. although staff offer complimentari drink apology, seem terribl upset apologet inconveni caused. the nois night citi horribl - even radio room could hear traffic pedestrian street well past midnight. the hotel would move us differ room. all all, i felt paid $100.00 luxuri hotel got $40 motel 6. we definit back anytim soon."
55," have made regular busi trip chicago, i decid stay hotel monaco chicago, sinc fairli new i friend stay there. the lobbi quit small, surpris name like monaco. as matter fact i found furnish quit drab.a boy took luggag show suite. it two rooms, spaciou i would liked, entertain room, bedroom standard television. can you imagine, i expect h.d., ordinari cable. for $600 night would expect 42 inch set. the bath ordinary, noth special, bed big king.th view take lake, unfortunately, magic mile. well, i starv time eat. the restaur well appointed, i hope food good. i order lamb chops, potato au gratin mint sauce. it fair. i hope rest trip si better accomadations. i would give hotel two half, i would return."
56," travel hotel famili vacation. we chose hotel pet friendly. upon arriv smell pet friendli was! the dog greet attack dog. there constant bark throughout night breakfast, i found hair eggs! i would recommend hotel!"
57," the hotel locat hard fin locat chicago, dine room dinner uncomfort crowded, room servic hard reach, overal pleasant hotel stay."
58," we book trip sever month advanc greatli look forward stay hotel monaco chicago. however, experi significantli differ expected, follow reasons. first all, one person front desk arrived. that person preoccupi someth comput presenc acknowledg sever minutes. then got room, beauti drape window across one entir wall i found incred dusty. just bump slightli caus cloud dust emerg i found distasteful. overal good stay two inconveni made us question amount money paid it."
59," i stay monaco-chicago back april. i town business, hotel recommend friend mine. have spent weekend there, i idea friend talk about. the complimentari morn coffe weak; fit room dimli lit; i thought i'd cloth mail back i use suppos ""overnight"" laundri servic suit i spill wine on. my room adequate, nowher near i'v seen elsewher price point. recent renov must slang ""everyth stiff smell industri adhesive."" the mattress room incred firm, i slept poorly. when i travel, i expect experi similar better experi home. at hotels, i receiv excel servic comfort accomodations. thi except usual, i back anytim soon."
60," i need place stay busi confer chicago. while higher priced, review onlin plu four star convinc me. grant hotel beautiful, look deceiving. the pictur onlin show beauti white linen mine bit grey. the restaur (cafe de architect) amaz food, plus, servic awful. i wait twenti minut glass water! my remot work tv air condition far loud. the hotel must'v host convent i could hear music night. the housekeep good happen infrequently. i call twice fresh towels. if i want type experience, i'd stay lower-end hotel. same experience, less money!"
61," i stay sofitel chicago water tower hotel coupl week ago chicago 3 nights. i must say, i not impressed. thi exampl hotel tri hard littl result except inflat bill. to start with, hotel lobbi total gaudy. it sculptur artwork seem meaningless i guess suppos give air style. the room ok i suppose, certainli worth premium price i paid it. the hotel food present like kind amaz french cuisine, food, arrang nicely, tast unremark again, overpriced. my final verdict avoid hotel possible. it simpli worth it."
62," i stay sofitel husband weekend i never stay again! the staff rude, room dirty, decor ugli garish. avoid costs!"
63," my husband i stay sofitel chicago water tower three night last month. we celebr anniversary, decid splurg prestig suite. accord website, given either citi park view, neither had. instead, room overlook dirti field spars trees. the woman check us room rude impatient, man help bag same. when got room, bed unkempt floor seriou need vacuuming. the bathroom dirti dri toothpast sink. my husband request given anoth room, prefer clean one, clerk told us room available. if given chance, i would stay hotel again, even i offer free night."
64," stay sofitel one less pleasur experi i chicago. upon entering, one offer take luggag i forc carri check desk. the front desk staff friendli welcoming. the room smaller i expect smell fake suede. i decid drink food le bar upon entering, i immedi notic dimli lit room was. i could bare see bartend face. the drink alright food sub-par compar i expecting. after hour, i readi bed i return room lay down. the mattress surpris stiff. the nois higher expect well. thankfully, one night stay."
65," after arriv sofitel chicago water tower hotel i greet rude snubery. my room reserv doubl booked, instead suit i expected, i given much smaller guest room. instead concierg i cockroaches. the dine left wish fast food. the bar left bad tast mouth cheap liquor hot beer."
66," the hotel sofitel chicago water tower bill 4-star luxuri hotel, luxuri evid eye beholder. fill trite modern art modular, cheap-look furnitur look straight latest ikea catalogue, 32-floor hunk glass one ugliest hotel i ever seen. ""urban chic"" design equal comfort; seat bed furnitur made design floor actual use. room servic expensive, slow, food eventu get mediocr qualiti flavor. the hotel featur two bars: cafe de architect bar, simpli name le bar. cutesi french name trendi modern outfit good hotel bar make! excel service, fair prices, friendli compet staff make bar great, none find either bars. cafe de architect also restaurant, offer ""season menu featur contemporari cuisin french roots,"" mean small portion larg price question quality. even old standbi filet mignon stand reputation, come littl dri hunk meat rather succul steak. pass one by, look comfortable, enjoy stay downtown chicago. the water tower dry."
67," the sofitel chicago water tower, seemingli good idea theory, mani drawbacks. at first glance, appear quit luxuri grand, shortcom cannot overlooked. the hotel quit tall, come 32 stories, nois adjoin floor room sometim quit annoying. the staff member littl tri amelior situat dissatisfi guest, seem plea help go unnoticed. the hotel tri adopt french flavor, effort fall short. the real french influenc found name restaur bars. the hotel conveni locat heart city, locat also add less-than-cozi feel establishment. the complaint guest room nois appli hotel general. the city' traffic nois detract abil fulli enjoy one' stay here. overall, i would recommend hotel. make differ choice."
